利用日,利用店名・利用先,支払方法,利用金額
2026/06/21,スターバックス目黒店,リボ払い,694
2026/06/22,ファミリーマート大森店,1回払い,1064
2026/06/22,サイゼリヤ大森店,1回払い,1947
2026/06/22,ライフ緑ヶ丘店,リボ払い,4630
2026/06/22,東京都水道局,1回払い,4196
2026/06/25,Netflix,1回払い,1490
2026/06/27,ローソン五反田店,2回払い,1032
2026/06/28,スターバックス目黒店,1回払い,910
2026/06/28,ローソン五反田店,1回払い,976
2026/06/28,ENEOS大井町SS,2回払い,4086
2026/06/29,Times駐車場,リボ払い,1926
2026/06/29,大井町クリニック,2回払い,4442
2026/06/30,スターバックス目黒店,1回払い,803
2026/07/02,東京電力エナジーパートナー,1回払い,6888
2026/07/03,西友大井町店,リボ払い,1610
2026/07/03,ソフトバンク光,リボ払い,5257
2026/07/04,西友大井町店,1回払い,5360
2026/07/04,NTTドコモ,1回払い,8796
2026/07/05,ライフ緑ヶ丘店,1回払い,5874
2026/07/06,ENEOS大井町SS,リボ払い,3491
2026/07/07,Netflix,リボ払い,1490
2026/07/09,大井町クリニック,リボ払い,3890
2026/07/09,Amazon.co.jp,1回払い,6183
2026/07/09,スターバックス目黒店,1回払い,1185
2026/07/09,ソフトバンク光,1回払い,5091
2026/07/10,サイゼリヤ大森店,1回払い,1810
2026/07/11,NTTドコモ,1回払い,7647
2026/07/11,イオン石川台店,リボ払い,5254
2026/07/11,JR東日本 定期券,1回払い,8000
2026/07/12,東京都水道局,1回払い,4984
2026/07/14,Amazon.co.jp,1回払い,5345
2026/07/15,ライフ緑ヶ丘店,1回払い,3001
2026/07/15,吉野家品川店,2回払い,661
2026/07/16,TOHOシネマズ品川,リボ払い,3552
2026/07/16,イオン石川台店,リボ払い,6971
2026/07/17,大井町クリニック,1回払い,1924
2026/07/17,サイゼリヤ大森店,1回払い,1236
2026/07/18,サイゼリヤ大森店,リボ払い,1577
2026/07/19,東京電力エナジーパートナー,1回払い,8808
2026/07/19,Netflix,1回払い,1490
2026/07/20,Amazon.co.jp,1回払い,9004
2026/07/20,西友大井町店,2回払い,1956
2026/07/20,東京ガス,1回払い,6559
2026/07/21,西友大井町店,1回払い,1229
2026/07/21,東京都水道局,1回払い,2535
2026/07/22,東京ガス,リボ払い,6619
2026/07/23,楽天市場,1回払い,1579
2026/07/23,ライフ緑ヶ丘店,1回払い,6660
2026/07/23,楽天市場,1回払い,1795
2026/07/24,Times駐車場,1回払い,761
2026/07/25,JR東日本 定期券,1回払い,8000
2026/07/25,スターバックス目黒店,1回払い,1198
2026/07/27,東京都水道局,2回払い,4293
2026/07/27,TOHOシネマズ品川,1回払い,3434
2026/07/28,ローソン五反田店,2回払い,562
2026/07/30,東京ガス,2回払い,5721
2026/07/31,サイゼリヤ大森店,1回払い,1326
